,muni_code,year,kont_recip_tot
549,370,1997,2767
550,370,1998,2840
551,370,1999,2860
552,370,2000,2746
553,370,2001,2771
554,370,2002,2780
555,370,2003,2822
556,370,2004,2707
557,370,2005,2524
558,370,2006,2323
944,370,2007,2420
945,370,2008,2418
946,370,2009,2678
947,370,2010,2883
948,370,2011,3132
949,370,2012,3302
950,370,2013,3605
951,370,2014,3746
952,370,2015,3782
953,370,2016,3580
954,370,2017,3313
955,370,2018,3036
956,370,2019,2816
957,370,2020,2691
958,370,2021,2429
959,370,2022,2392
559,376,1994,2150
560,376,1995,2114
561,376,1996,2237
562,376,1997,2154
563,376,1998,2385
564,376,1999,2440
565,376,2000,2396
566,376,2001,2365
567,376,2002,2387
568,376,2003,2227
569,376,2004,2101
570,376,2005,2075
571,376,2006,1991
960,376,2007,2173
961,376,2008,2160
962,376,2009,2468
963,376,2010,2544
964,376,2011,2640
965,376,2012,2713
966,376,2013,3067
967,376,2014,3325
968,376,2015,3523
969,376,2016,3421
970,376,2017,3290
971,376,2018,2925
972,376,2019,2741
973,376,2020,2565
974,376,2021,2252
975,376,2022,2079
572,390,1994,1628
573,390,1995,1563
574,390,1996,1434
575,390,1997,1590
576,390,1998,1574
577,390,1999,1564
578,390,2000,1511
579,390,2001,1526
580,390,2002,1523
581,390,2003,1642
582,390,2004,1682
583,390,2005,1652
584,390,2006,1458
976,390,2007,1574
977,390,2008,1656
978,390,2009,1750
979,390,2010,1757
980,390,2011,1741
981,390,2012,1765
982,390,2013,2023
983,390,2014,2142
984,390,2015,2325
985,390,2016,2341
986,390,2017,2108
987,390,2018,1939
988,390,2019,1749
989,390,2020,1614
990,390,2021,1403
991,390,2022,1382
585,400,1994,1304
586,400,1995,1293
587,400,1996,1274
588,400,1997,1257
589,400,1998,1477
590,400,1999,1553
591,400,2000,1535
592,400,2001,1483
593,400,2002,1481
594,400,2003,1466
595,400,2004,1329
596,400,2005,1422
597,400,2006,1391
992,400,2007,1539
993,400,2008,1533
994,400,2009,1545
995,400,2010,1625
996,400,2011,1659
997,400,2012,1626
998,400,2013,1708
999,400,2014,1768
1000,400,2015,1848
1001,400,2016,1684
1002,400,2017,1441
1003,400,2018,1173
1004,400,2019,953
1005,400,2020,866
